neighborhood,average_property_price
Agincourt North,"
            $743,723
        "
Agincourt South-Malvern West,"
            $826,768
        "
Alderwood,"
            $835,439
        "
Annex,"
            $1,971,720
        "
Banbury-Don Mills,"
            $1,339,160
        "
Bathurst Manor,"
            $967,230
        "
Bay Street Corridor,"
            $2,138,757
        "
Bayview Village,"
            $1,499,543
        "
Bayview Woods-Steeles,"
            $1,091,276
        "
Bedford Park-Nortown,"
            $1,562,765
        "
Beechborough-Greenbrook,"
            $775,753
        "
Bendale,"
            $690,899
        "
Birchcliffe-Cliffside,"
            $910,246
        "
Black Creek,"
            $573,650
        "
Blake-Jones,"
            $1,053,945
        "
Briar Hill-Belgravia,"
            $820,376
        "
Bridle Path-Sunnybrook-York Mills,"
            $2,134,592
        "
Broadview North,"
            $1,027,481
        "
Brookhaven-Amesbury,"
            $662,288
        "
Cabbagetown-South St. James Town,"
            $1,309,397
        "
Caledonia-Fairbank,"
            $1,005,984
        "
Casa Loma,"
            $1,974,848
        "
Centennial Scarborough,"
            $702,827
        "
Church-Yonge Corridor,"
            $1,322,866
        "
Clairlea-Birchmount,"
            $741,750
        "
Clanton Park,"
            $1,023,084
        "
Cliffcrest,"
            $750,557
        "
Corso Italia-Davenport,"
            $891,926
        "
Crescent Town,"
            $684,884
        "
Danforth,"
            $931,219
        "
Danforth Village-East York,"
            $1,026,215
        "
Don Valley Village,"
            $979,148
        "
Dorset Park,"
            $697,811
        "
Dovercourt-Wallace Emerson-Junction,"
            $1,052,701
        "
Downsview-Roding-CFB,"
            $761,519
        "
Dufferin Grove,"
            $1,168,365
        "
East End-Danforth,"
            $956,707
        "
East York,"
            $944,816
        "
Edenbridge-Humber Valley,"
            $1,288,432
        "
Eglinton East,"
            $758,671
        "
Elms-Old Rexdale,"
            $584,637
        "
Englemount-Lawrence,"
            $1,042,065
        "
Eringate-Centennial-West Deane,"
            $784,927
        "
Etobicoke West Mall,"
            $821,634
        "
Flemingdon Park,"
            $648,389
        "
Forest Hill North,"
            $1,331,218
        "
Forest Hill South,"
            $2,254,937
        "
Glenfield-Jane Heights,"
            $605,001
        "
Greenwood-Coxwell,"
            $950,196
        "
Guildwood,"
            $738,932
        "
Henry Farm,"
            $961,276
        "
High Park North,"
            $1,245,983
        "
High Park-Swansea,"
            $1,188,142
        "
Highland Creek,"
            $748,789
        "
Hillcrest Village,"
            $1,001,271
        "
Humber Heights,"
            $914,575
        "
Humber Summit,"
            $703,726
        "
Humberlea-Pelmo Park W4,"
            $803,982
        "
Humberlea-Pelmo Park W5,"
            $717,236
        "
Humbermede,"
            $607,800
        "
Humewood-Cedarvale,"
            $1,314,127
        "
Ionview,"
            $627,196
        "
Islington-City Centre West,"
            $988,337
        "
Junction Area,"
            $984,702
        "
Keelesdale-Eglinton West,"
            $697,674
        "
Kennedy Park,"
            $625,156
        "
Kensington-Chinatown,"
            $1,199,462
        "
Kingsview Village-The Westway,"
            $703,989
        "
Kingsway South,"
            $1,437,780
        "
L'Amoreaux,"
            $800,678
        "
Lambton Baby Point,"
            $1,145,314
        "
L'Amoreaux,"
            $962,587
        "
Lansing-Westgate,"
            $1,378,577
        "
Lawrence Park North,"
            $1,544,269
        "
Lawrence Park South,"
            $1,835,048
        "
Leaside,"
            $1,416,912
        "
Little Portugal,"
            $1,268,815
        "
Long Branch,"
            $922,856
        "
Malvern,"
            $593,132
        "
Maple Leaf,"
            $828,661
        "
